# Simulation 6 (Up to date)
# 2863 data points written for 2 variables.
#
# Time (s),Altitude (m)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
36.34,3365.309
36.39,3362.469
36.44,3359.632
36.49,3356.799
36.54,3353.971
36.59,3351.146
36.64,3348.325
36.69,3345.508
36.74,3342.695
36.79,3339.886
36.84,3337.081
36.89,3334.279
36.94,3331.48
36.99,3328.685
37.04,3325.892
37.09,3323.102
37.14,3320.315
37.19,3317.53
37.24,3314.747
37.29,3311.966
37.34,3309.187
37.39,3306.409
37.44,3303.633
37.49,3300.858
37.54,3298.085
37.59,3295.313
37.64,3292.542
37.69,3289.772
37.74,3287.004
37.79,3284.236
37.84,3281.47
37.89,3278.705
37.94,3275.942
37.99,3273.181
38.04,3270.422
38.09,3267.665
38.14,3264.911
38.19,3262.159
38.24,3259.411
38.29,3256.667
38.34,3253.927
38.39,3251.191
38.44,3248.46
38.49,3245.734
38.54,3243.013
38.59,3240.298
38.64,3237.59
38.69,3234.888
38.74,3232.192
38.79,3229.504
38.84,3226.823
38.89,3224.15
38.94,3221.485
38.99,3218.827
39.04,3216.178
39.09,3213.537
39.14,3210.905
39.19,3208.281
39.24,3205.665
39.29,3203.058
39.34,3200.458
39.39,3197.868
39.44,3195.285
39.49,3192.71
39.54,3190.143
39.59,3187.583
39.64,3185.031
39.69,3182.486
39.74,3179.948
39.79,3177.416
39.84,3174.892
39.89,3172.373
39.94,3169.861
39.99,3167.354
40.04,3164.853
40.09,3162.358
40.14,3159.868
40.19,3157.383
40.24,3154.903
40.29,3152.428
40.34,3149.958
40.39,3147.493
40.44,3145.033
40.49,3142.577
40.54,3140.126
40.59,3137.68
40.64,3135.239
40.69,3132.804
40.74,3130.373
40.79,3127.948
40.84,3125.529
40.89,3123.116
40.94,3120.708
40.99,3118.308
41.04,3115.913
41.09,3113.526
41.14,3111.145
41.19,3108.772
41.24,3106.407
41.29,3104.049
41.34,3101.7
41.39,3099.358
41.44,3097.026
41.49,3094.702
41.54,3092.387
41.59,3090.08
41.64,3087.783
41.69,3085.495
41.74,3083.216
41.79,3080.946
41.84,3078.686
41.89,3076.435
41.94,3074.192
41.99,3071.959
42.04,3069.734
42.09,3067.518
42.14,3065.311
42.19,3063.112
42.24,3060.92
42.29,3058.737
42.34,3056.561
42.39,3054.393
42.44,3052.232
42.49,3050.077
42.54,3047.93
42.59,3045.788
42.64,3043.653
42.69,3041.524
42.74,3039.401
42.79,3037.283
42.84,3035.171
42.89,3033.064
42.94,3030.962
42.99,3028.865
43.04,3026.773
43.09,3024.686
43.14,3022.604
43.19,3020.527
43.24,3018.454
43.29,3016.386
43.34,3014.323
43.39,3012.265
43.44,3010.211
43.49,3008.163
43.54,3006.12
43.59,3004.082
43.64,3002.049
43.69,3000.021
43.74,2997.999
43.79,2995.983
43.84,2993.972
43.89,2991.968
43.94,2989.97
43.99,2987.977
44.04,2985.992
44.09,2984.012
44.14,2982.04
44.19,2980.074
44.24,2978.114
44.29,2976.162
44.34,2974.216
44.39,2972.277
44.44,2970.345
44.49,2968.419
44.54,2966.501
44.59,2964.589
44.64,2962.683
44.69,2960.784
44.74,2958.892
44.79,2957.006
44.84,2955.125
44.89,2953.251
44.94,2951.383
44.99,2949.52
45.04,2947.663
45.09,2945.81
45.14,2943.963
45.19,2942.121
45.24,2940.283
45.29,2938.45
45.34,2936.622
45.39,2934.797
45.44,2932.976
45.49,2931.159
45.54,2929.346
45.59,2927.537
45.64,2925.731
45.69,2923.928
45.74,2922.128
45.79,2920.332
45.84,2918.538
45.89,2916.748
45.94,2914.961
45.99,2913.176
46.04,2911.395
46.09,2909.617
46.14,2907.841
46.19,2906.069
46.24,2904.3
46.29,2902.534
46.34,2900.772
46.39,2899.013
46.44,2897.257
46.49,2895.505
46.54,2893.756
46.59,2892.011
46.64,2890.27
46.69,2888.532
46.74,2886.799
46.79,2885.069
46.84,2883.344
46.89,2881.623
46.94,2879.905
46.99,2878.192
47.04,2876.484
47.09,2874.779
47.14,2873.079
47.19,2871.382
47.24,2869.69
47.29,2868.003
47.34,2866.319
